node,date,actual_4w,implied_4w,gap_4w
upstream_oil_eandp,2021-12-31,0.023285067237154476,0.1071506493646161,-0.08386558212746165
upstream_oil_eandp,2022-01-07,0.05978451778261227,0.07652238701341416,-0.016737869230801908
upstream_oil_eandp,2022-01-14,0.21441238982980473,0.13524600086405683,0.07916638896574789
upstream_oil_eandp,2022-01-21,0.09878517483774868,0.04498817305350808,0.053797001784240586
upstream_oil_eandp,2022-01-28,0.15046301907737214,0.04356930521558913,0.10689371386178298
upstream_oil_eandp,2022-02-04,0.10772308853003232,0.052344062467880176,0.05537902606215212
upstream_oil_eandp,2022-02-11,0.05333093353251728,0.04086684947137627,0.012464084061140995
upstream_oil_eandp,2022-02-18,0.08981308675143898,0.05368628976316052,0.036126796988278455
upstream_oil_eandp,2022-02-25,0.065887705676028,0.05981969078342581,0.006068014892602169
upstream_oil_eandp,2022-03-04,0.12412523292874039,0.12996828228067575,-0.005843049351935359
upstream_oil_eandp,2022-03-11,0.07350739579396384,0.10962466998340488,-0.036117274189441044
upstream_oil_eandp,2022-03-18,0.11399387168602398,0.15270020929162673,-0.038706337605602756
upstream_oil_eandp,2022-03-25,0.16019701380500648,0.18725244308505698,-0.027055429280050492
upstream_oil_eandp,2022-04-01,0.028004048298494906,-0.014511822433770222,0.04251587073226512
upstream_oil_eandp,2022-04-08,0.08085447555739908,-0.011498977580645716,0.0923534531380448
upstream_oil_eandp,2022-04-15,0.10911654175987472,0.016431842043185735,0.09268469971668898
upstream_oil_eandp,2022-04-22,-0.031197646827633152,-0.10240476951609373,0.07120712268846058
upstream_oil_eandp,2022-04-29,-0.04434253224703258,-0.030551199291223016,-0.013791332955809563
upstream_oil_eandp,2022-05-06,0.020149364783431642,0.007753980202076176,0.01239538458135546
upstream_oil_eandp,2022-05-13,-0.057713973393442655,-0.07540933968243228,0.017695366288989628
upstream_oil_eandp,2022-05-20,0.007923469845725947,-0.02402562904274872,0.031949098888474664
upstream_oil_eandp,2022-05-27,0.17299006443624437,0.04849492120341317,0.12449514323283119
upstream_oil_eandp,2022-06-03,0.12360781910366994,0.038781575713264085,0.08482624339040584
upstream_oil_eandp,2022-06-10,0.1918415235869075,0.05938935513716353,0.13245216844974397
upstream_oil_eandp,2022-06-17,0.013708193405177871,-0.019321233310694297,0.03302942671587217
upstream_oil_eandp,2022-06-24,-0.18632000147767613,-0.0660427299478498,-0.12027727152982631
upstream_oil_eandp,2022-07-01,-0.2406443233055786,-0.10352297154040746,-0.13712135176517115
upstream_oil_eandp,2022-07-08,-0.27622440084406324,-0.09326813948951071,-0.18295626135455254
upstream_oil_eandp,2022-07-15,-0.14850049375236804,-0.03695906414954169,-0.11154142960282633
upstream_oil_eandp,2022-07-22,-0.04389941403801775,-0.06686215423903923,0.022962740201021486
upstream_oil_eandp,2022-07-29,0.09386564247055143,-0.002090614619754766,0.09595625709030622
upstream_oil_eandp,2022-08-05,0.05074148276844935,-0.053813294666103954,0.10455477743455333
upstream_oil_eandp,2022-08-12,0.18392180620192328,0.010806718723559393,0.1731150874783639
upstream_oil_eandp,2022-08-19,0.1620643445097964,-0.024294700787214785,0.1863590452970112
upstream_oil_eandp,2022-08-26,0.09430007059417604,-0.06630014699344715,0.16060021758762322
upstream_oil_eandp,2022-09-02,0.12645099239091465,-0.05725535259071281,0.18370634498162747
upstream_oil_eandp,2022-09-09,0.027308540650817982,-0.06702329783483718,0.0943318384856552
upstream_oil_eandp,2022-09-16,-0.014531632296090616,-0.06134942465262646,0.04681779235653586
