ticker,name,node,window,n_weeks,actual,factor,idio,idio_share
TPL,Texas Pacific Land,minerals_royalty,ytd,19,0.37944237629145844,0.3723151425778126,0.00712723371364582,0.018783441594755423
TPL,Texas Pacific Land,minerals_royalty,1y,52,-0.026773601363694305,0.5272938949037415,-0.5540674962674358,20.6945449265845
VNOM,Viper Energy,minerals_royalty,1m,4,0.055396119996891174,0.05907939259232785,-0.0036832725954366735,-0.06648972158417193
VNOM,Viper Energy,minerals_royalty,3m,13,0.11779753385121366,0.2750470763959908,-0.15724954254477713,-1.3349137066264396
VNOM,Viper Energy,minerals_royalty,ytd,19,0.2359595081198412,0.3687175607324034,-0.1327580526125622,-0.5626306550238097
VNOM,Viper Energy,minerals_royalty,1y,52,0.21611489961727823,0.5195449807784364,-0.3034300811611581,-1.4040220350309391
BSM,Black Stone Minerals,minerals_royalty,1m,4,-0.036893893953518386,0.05885656679550679,-0.09575046074902518,2.5952928923593315
BSM,Black Stone Minerals,minerals_royalty,3m,13,-0.08032053802225445,0.1605682227478121,-0.24088876077006655,2.9990929680192555
BSM,Black Stone Minerals,minerals_royalty,ytd,19,0.036213231597037446,0.20797564304533286,-0.1717624114482954,-4.743084333361375
BSM,Black Stone Minerals,minerals_royalty,1y,52,0.05621711341187459,0.26229061039199475,-0.20607349698012017,-3.6656719719905047
NRP,Natural Resource Partners,minerals_royalty,1m,4,-0.03647301647278638,0.07883126690143871,-0.1153042833742251,3.1613585747769752
NRP,Natural Resource Partners,minerals_royalty,3m,13,-0.03689812917554327,0.12014334369250683,-0.1570414728680501,4.25608225611991
NRP,Natural Resource Partners,minerals_royalty,ytd,19,0.11959493572527989,0.167995020261091,-0.048400084535811114,-0.4047001174614147
NRP,Natural Resource Partners,minerals_royalty,1y,52,0.21421416497335463,0.26958187094889435,-0.05536770597553972,-0.2584689298320992
SBR,Sabine Royalty Trust,minerals_royalty,1m,4,0.0046822880318858305,0.0716739181131609,-0.06699163008127507,-14.307456018311976
SBR,Sabine Royalty Trust,minerals_royalty,3m,13,0.09833440805817217,0.2277968205702343,-0.1294624125120621,-1.3165525177664708
SBR,Sabine Royalty Trust,minerals_royalty,ytd,19,0.10013785430101588,0.26817598563475314,-0.16803813133373727,-1.6780680243917765
SBR,Sabine Royalty Trust,minerals_royalty,1y,52,0.2281132751276205,0.34524699651436597,-0.11713372138674547,-0.5134892799255708
PBT,Permian Basin Royalty Trust,minerals_royalty,1m,4,0.06665734273069561,0.09851334658170355,-0.03185600385100794,-0.4779068973647864
PBT,Permian Basin Royalty Trust,minerals_royalty,3m,13,0.1994350949178563,0.22616116841843412,-0.02672607350057782,-0.13400887898684935
PBT,Permian Basin Royalty Trust,minerals_royalty,ytd,19,0.2843498836996591,0.2769511931364302,0.0073986905632288935,0.026019671494023417
PBT,Permian Basin Royalty Trust,minerals_royalty,1y,52,0.8315931869742021,0.34314991875713796,0.4884432682170642,0.5873584294194281
DMLP,Dorchester Minerals,minerals_royalty,1m,4,-0.04741012728054043,0.06351935947885312,-0.11092948675939354,2.3397846224497427
DMLP,Dorchester Minerals,minerals_royalty,3m,13,0.07916677678275177,0.18322875134442115,-0.10406197456166938,-1.3144652187524903
DMLP,Dorchester Minerals,minerals_royalty,ytd,19,0.2127851256426288,0.23958154825258896,-0.026796422609960152,-0.12593184100172755
DMLP,Dorchester Minerals,minerals_royalty,1y,52,0.031317569235210264,0.31723398920569423,-0.28591641997048395,-9.129585307950045
MNR,Mach Natural Resources,minerals_royalty,1m,4,0.05685100032549738,0.06221458818667845,-0.005363587861181074,-0.09434465234511508
MNR,Mach Natural Resources,minerals_royalty,3m,13,0.12255385764885658,0.1995363516197916,-0.07698249397093503,-0.6281523523437882
MNR,Mach Natural Resources,minerals_royalty,ytd,19,0.22314964088853606,0.28400892644947384,-0.06085928556093778,-0.27272858391619453
MNR,Mach Natural Resources,minerals_royalty,1y,52,0.10439193436493736,0.3521110637327652,-0.2477191293678278,-2.372971924266119
NE,Noble Corp,upstream_offshore_drillers,1m,4,0.003060945612243484,0.08855263368792331,-0.08549168807567982,-27.929829178839835
NE,Noble Corp,upstream_offshore_drillers,3m,13,0.23578334582197072,0.3166863321920617,-0.080902986370091,-0.3431242613342893
NE,Noble Corp,upstream_offshore_drillers,ytd,19,0.5708280742436677,0.41994999296758945,0.1508780812760782,0.26431440232856057
NE,Noble Corp,upstream_offshore_drillers,1y,52,0.7863491969657709,0.6700987322622481,0.11625046470352274,0.14783567548881596
RIG,Transocean,upstream_offshore_drillers,1m,4,-0.04549803715226364,0.18042330762641556,-0.2259213447786792,4.965518490888108
RIG,Transocean,upstream_offshore_drillers,3m,13,0.14483097571077252,0.4749528759046833,-0.3301219001939108,-2.2793597748948695
RIG,Transocean,upstream_offshore_drillers,ytd,19,0.43809443797463515,0.6257521242313117,-0.1876576862566765,-0.4283498487774491
RIG,Transocean,upstream_offshore_drillers,1y,52,0.8700261547194856,0.9253016268754092,-0.055275472155923544,-0.06353311547713815
VAL,Valaris,upstream_offshore_drillers,1m,4,-0.050328318950436116,0.10118622836210739,-0.1515145473125435,3.010522713102273
VAL,Valaris,upstream_offshore_drillers,3m,13,0.396721156176451,0.3372176835793401,0.05950347259711086,0.1499881507973961
VAL,Valaris,upstream_offshore_drillers,ytd,19,0.6282720372057156,0.45997896828251256,0.168293068923203,0.267866559319906
VAL,Valaris,upstream_offshore_drillers,1y,52,0.8873494351790794,0.697720044408453,0.18962939077062635,0.2137031740290188
SDRL,Seadrill,upstream_offshore_drillers,1m,4,0.016694862623372206,0.07684848116808944,-0.060153618544717236,-3.6031215052051007
