ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
PBT,Permian Basin Royalty Trust,minerals_royalty,1.0579376113443932,0.11564828073225207,0.27183193859710475,0.02530445747313771,0.0787525357796717,0.030535019352227872,0.4017833088235631,0.2698274761999342,1254
DMLP,Dorchester Minerals,minerals_royalty,0.7101727081023994,0.01924846993331971,0.3396853370275339,0.015378652487241051,0.0003118142295698012,-0.06279342381868608,0.002617592404441304,-0.9130212436689653,1254
MNR,Mach Natural Resources,minerals_royalty,0.6805342573918947,-0.10292148244284162,0.21081369637365588,0.01631912307850147,0.07694138035674968,0.0635985425590485,0.608677895502184,0.8714356999935353,633
NE,Noble Corp,upstream_offshore_drillers,0.8433903944025283,0.07195995169416955,0.5858637975009409,0.01764156883256549,0.020933657038320275,0.00365406561398841,0.15319065602784382,0.046315263595150334,1232
RIG,Transocean,upstream_offshore_drillers,1.2629465775267161,-0.1247457466516704,0.5034105604297238,0.02785907528127681,-0.10709746045615723,-0.026529519816081624,-0.4962915155174696,-0.21293531504634866,1254
VAL,Valaris,upstream_offshore_drillers,1.014463712590603,0.18292248772923828,0.6059335535315566,0.01962926525812172,-0.11812956349638366,-0.05847626935321759,-0.7769247024786908,-0.6661324895504216,1254
SDRL,Seadrill,upstream_offshore_drillers,0.7438941953817069,0.07003430541109396,0.5003635492556537,0.018822930516937765,0.024831416621990905,0.02984072510420864,0.17030940524584978,0.35449256836416565,891
SOC,Sable Offshore,upstream_offshore_drillers,0.2786678448152023,0.012249753260052218,0.028440628103168053,0.04513833560521256,0.41455923946437506,-0.012341546235979772,1.1856743711189068,-0.061137691412619544,1254
TDW,Tidewater,ofs_offshore,0.9478271573138355,0.2858101624380361,0.486998488266844,0.02395368626835891,0.05716445884464827,-0.09613475875002293,0.3080903632394588,-0.8974145071339007,1254
OII,Oceaneering International,ofs_offshore,1.0845627397646442,0.053327655216307925,0.6325209002177752,0.019921983555302898,0.003987649869420275,0.039919184875754896,0.025840970255962863,0.4480578489625818,1254
HLX,Helix Energy Solutions,ofs_offshore,1.0031647234080536,0.011161457675158838,0.5655810512326043,0.02147041630348694,0.03094887181651004,0.04028331922125798,0.1860924406168201,0.4195365328031751,1254
