ticker,name,assigned_node,home_corr,top1_node,top1_corr,top2_node,top2_corr,is_home_top
KGS,Kodiak Gas Services,midstream_gpt,0.6534707479315907,midstream_gpt,0.6534707479315907,ofs_onshore,0.5135697004759033,True
USAC,USA Compression Partners,midstream_gpt,0.6142587546156553,midstream_gpt,0.6142587546156553,midstream_pipelines,0.6089582346645128,True
KRP,Kimbell Royalty Partners,midstream_gpt,0.6058800743914542,upstream_oil_eandp,0.7032829833230763,minerals_royalty,0.6780486400225353,False
EPD,Enterprise Products,midstream_pipelines,0.7440977010723392,midstream_pipelines,0.7440977010723392,midstream_gpt,0.7259550267298126,True
ET,Energy Transfer,midstream_pipelines,0.7554689034540621,midstream_gpt,0.7703545543067116,midstream_pipelines,0.7554689034540621,False
MPLX,MPLX,midstream_pipelines,0.7347876984953723,midstream_pipelines,0.7347876984953723,midstream_gpt,0.7146080388441073,True
PAA,Plains All American,midstream_pipelines,0.8011762845760886,midstream_pipelines,0.8011762845760886,midstream_gpt,0.7411755676182228,True
PAGP,Plains GP Holdings,midstream_pipelines,0.8029713573929387,midstream_pipelines,0.8029713573929387,midstream_gpt,0.7601607937261537,True
WES,Western Midstream,midstream_pipelines,0.7118071172722557,midstream_pipelines,0.7118071172722557,midstream_gpt,0.6835234689164641,True
SUN,Sunoco LP,midstream_pipelines,0.6040882682082972,midstream_pipelines,0.6040882682082972,midstream_gpt,0.5543450685710797,True
SUNC,SunocoCorp LLC,midstream_pipelines,0.4752087784292986,midstream_pipelines,0.4752087784292986,upstream_oil_eandp,0.3426241895350648,True
DKL,Delek Logistics,midstream_pipelines,0.4670827844718971,midstream_pipelines,0.4670827844718971,midstream_gpt,0.4344598810605271,True
GEL,Genesis Energy,midstream_pipelines,0.639228738527272,midstream_pipelines,0.639228738527272,midstream_gpt,0.5737336225712751,True
NGL,NGL Energy Partners,midstream_pipelines,0.38002609745486593,midstream_pipelines,0.38002609745486593,ofs_equipment,0.3530400793128675,True
GLP,Global Partners,midstream_pipelines,0.5096517766656797,midstream_pipelines,0.5096517766656797,midstream_gpt,0.49713375045851976,True
VLO,Valero Energy,downstream_refiners,0.8733222842663863,downstream_refiners,0.8733222842663863,iocs_integrated,0.7080691929989891,True
MPC,Marathon Petroleum,downstream_refiners,0.8479997518504326,downstream_refiners,0.8479997518504326,upstream_oil_eandp,0.7044077483226268,True
PSX,Phillips 66,downstream_refiners,0.8306139662200943,downstream_refiners,0.8306139662200943,iocs_integrated,0.7365681485009399,True
DINO,HF Sinclair,downstream_refiners,0.8469885713140991,downstream_refiners,0.8469885713140991,upstream_oil_eandp,0.6294626880295929,True
PBF,PBF Energy,downstream_refiners,0.8324535931123123,downstream_refiners,0.8324535931123123,upstream_oil_eandp,0.6365468420719212,True
PARR,Par Pacific,downstream_refiners,0.7686593034671141,downstream_refiners,0.7686593034671141,upstream_oil_eandp,0.6010574173314658,True
CVI,CVR Energy,downstream_refiners,0.7951368863920042,downstream_refiners,0.7951368863920042,upstream_oil_eandp,0.6113409910688488,True
DK,Delek US,downstream_refiners,0.8217973670348274,downstream_refiners,0.8217973670348274,upstream_oil_eandp,0.6324998539379276,True
CLMT,Calumet,downstream_refiners,0.36491812580558597,upstream_oil_eandp,0.3693524192090233,minerals_royalty,0.36770142866155886,False
WKC,World Kinect,downstream_refiners,0.5309591994025196,ofs_onshore,0.532211513995474,downstream_refiners,0.5309591994025196,False
CAPL,CrossAmerica Partners,downstream_refiners,0.35077773295680187,midstream_pipelines,0.4617663625591765,midstream_gpt,0.42414571587648237,False
WLK,Westlake Corp,petrochem,0.8173028961658759,petrochem,0.8173028961658759,upstream_oil_eandp,0.5172856172289672,True
LYB,LyondellBasell,petrochem,0.8405440904370518,petrochem,0.8405440904370518,upstream_oil_eandp,0.5750593452391122,True
DOW,Dow Inc,petrochem,0.8582490342376199,petrochem,0.8582490342376199,upstream_oil_eandp,0.5344200491288951,True
OLN,Olin,petrochem,0.7485732939701449,petrochem,0.7485732939701449,upstream_oil_eandp,0.502193178606776,True
SLB,Schlumberger,ofs_onshore,0.7998656187055417,ofs_equipment,0.8255348987111519,ofs_onshore,0.7998656187055417,False
HAL,Halliburton,ofs_onshore,0.8600054908209004,ofs_onshore,0.8600054908209004,ofs_equipment,0.8469299289260549,True
BKR,Baker Hughes,ofs_onshore,0.7407002384969095,ofs_equipment,0.7608021901845052,ofs_onshore,0.7407002384969095,False
LBRT,Liberty Energy,ofs_onshore,0.8133852592071692,ofs_onshore,0.8133852592071692,ofs_equipment,0.7336861680037432,True
PTEN,Patterson-UTI,ofs_onshore,0.8577061358274006,ofs_onshore,0.8577061358274006,upstream_oil_eandp,0.798692186232347,True
HP,Helmerich & Payne,ofs_onshore,0.8190413064970384,ofs_onshore,0.8190413064970384,ofs_equipment,0.7598047893492348,True
AESI,Atlas Energy Solutions,ofs_onshore,0.6590711989507789,ofs_onshore,0.6590711989507789,upstream_oil_eandp,0.6009477451875809,True
WTTR,Select Water Solutions,ofs_onshore,0.7293377298559689,ofs_onshore,0.7293377298559689,ofs_offshore,0.691983571831949,True
NESR,National Energy Services Reunited,ofs_onshore,0.5050259567709515,ofs_equipment,0.5133297286263726,ofs_onshore,0.5050259567709515,False
XPRO,Expro Group,ofs_onshore,0.7071911246262075,ofs_offshore,0.7170105398833456,ofs_onshore,0.7071911246262075,False
SEI,Solaris Energy Infrastructure,ofs_onshore,0.5858361367446479,ofs_onshore,0.5858361367446479,ofs_equipment,0.5255530579250126,True
NBR,Nabors Industries,ofs_onshore,0.8280005778166661,ofs_onshore,0.8280005778166661,ofs_equipment,0.7846643063964662,True
ACDC,ProFrac Holding,ofs_onshore,0.6430087951489906,ofs_onshore,0.6430087951489906,ofs_equipment,0.5612903273388568,True
RES,RPC Inc,ofs_onshore,0.8128626222502598,ofs_onshore,0.8128626222502598,ofs_equipment,0.7589981783051035,True
PUMP,ProPetro,ofs_onshore,0.8077980644559862,ofs_onshore,0.8077980644559862,ofs_equipment,0.7251476690751525,True
TTI,TETRA Technologies,ofs_onshore,0.6814624472754539,ofs_onshore,0.6814624472754539,ofs_offshore,0.6621994275795607,True
CLB,Core Laboratories,ofs_onshore,0.7266031924088767,ofs_onshore,0.7266031924088767,ofs_equipment,0.7174428921309143,True
CLNE,Clean Energy Fuels,ofs_onshore,0.45076188020171787,upstream_oil_eandp,0.47247541031663565,ofs_onshore,0.45076188020171787,False
NGS,Natural Gas Services Group,ofs_onshore,0.48721376780891346,ofs_onshore,0.48721376780891346,ofs_equipment,0.47682226094264535,True
FLOC,Flowco Holdings,ofs_onshore,0.5693752299414,ofs_onshore,0.5693752299414,ofs_equipment,0.5577991055954232,True
NOV,NOV Inc,ofs_equipment,0.8051753222355411,ofs_equipment,0.8051753222355411,ofs_onshore,0.7960415857041553,True
FTI,TechnipFMC,ofs_equipment,0.7493729417632117,ofs_equipment,0.7493729417632117,ofs_onshore,0.7422601126805933,True
WFRD,Weatherford International,ofs_equipment,0.6697069123613133,ofs_onshore,0.6757752486689875,ofs_offshore,0.6743180678714066,False
WHD,Cactus Inc,ofs_equipment,0.7715442662482738,ofs_onshore,0.8030632912634823,ofs_equipment,0.7715442662482738,False
FET,Forum Energy Technologies,ofs_equipment,0.618873162534094,ofs_onshore,0.6297582971677577,ofs_equipment,0.618873162534094,False
OIS,Oil States International,ofs_equipment,0.7507538944998363,ofs_onshore,0.7729123040489029,ofs_offshore,0.7575539019759454,False
CNR,Core Natural Resources,coal,0.7448456561675865,coal,0.7448456561675865,minerals_royalty,0.4846242215880517,True
ARLP,Alliance Resource Partners,coal,0.6190737324554054,coal,0.6190737324554054,minerals_royalty,0.48841377605079,True
BTU,Peabody Energy,coal,0.7385370327198081,coal,0.7385370327198081,upstream_oil_eandp,0.4499957208371523,True
VST,Vistra,power_ipps_merchant,0.7983209641137688,power_ipps_merchant,0.7983209641137688,midstream_gpt,0.4364298911098324,True
NRG,NRG Energy,power_ipps_merchant,0.6848888455913977,power_ipps_merchant,0.6848888455913977,midstream_gpt,0.42719965544461647,True
TLN,Talen Energy,power_ipps_merchant,0.7464807061810491,power_ipps_merchant,0.7464807061810491,midstream_gpt,0.39336726664709165,True
CEG,Constellation Energy,power_ipps_merchant,0.7000909055826944,power_ipps_merchant,0.7000909055826944,midstream_gpt,0.38870434961128536,True
NEE,NextEra Energy,power_utilities_regulated_gas,0.6684134260540666,power_utilities_regulated_gas,0.6684134260540666,power_renewables,0.6346490221624156,True
SO,Southern Company,power_utilities_regulated_gas,0.8353068945639289,power_utilities_regulated_gas,0.8353068945639289,power_utilities_regulated_ldc,0.6827069382568498,True
DUK,Duke Energy,power_utilities_regulated_gas,0.8529635968197533,power_utilities_regulated_gas,0.8529635968197533,power_utilities_regulated_ldc,0.6956147166192077,True
AEP,American Electric Power,power_utilities_regulated_gas,0.8312927676017136,power_utilities_regulated_gas,0.8312927676017136,power_utilities_regulated_ldc,0.6713826182672331,True
SRE,Sempra,power_utilities_regulated_gas,0.7193355972624391,power_utilities_regulated_gas,0.7193355972624391,power_utilities_regulated_ldc,0.628104909662408,True
D,Dominion Energy,power_utilities_regulated_gas,0.7877940599024514,power_utilities_regulated_gas,0.7877940599024514,power_utilities_regulated_ldc,0.6260503301116827,True
ETR,Entergy,power_utilities_regulated_gas,0.7826856729216504,power_utilities_regulated_gas,0.7826856729216504,power_utilities_regulated_ldc,0.6476665706990135,True
XEL,Xcel Energy,power_utilities_regulated_gas,0.8101948804204387,power_utilities_regulated_gas,0.8101948804204387,power_utilities_regulated_ldc,0.642433202820344,True
EXC,Exelon,power_utilities_regulated_gas,0.7835866075803642,power_utilities_regulated_gas,0.7835866075803642,power_utilities_regulated_ldc,0.6561315680748045,True
ED,Consolidated Edison,power_utilities_regulated_gas,0.8175938359288691,power_utilities_regulated_gas,0.8175938359288691,power_utilities_regulated_ldc,0.6758012102279042,True
PEG,Public Service Enterprise Group,power_utilities_regulated_gas,0.7743580251118566,power_utilities_regulated_gas,0.7743580251118566,power_utilities_regulated_ldc,0.6486679315229407,True
WEC,WEC Energy Group,power_utilities_regulated_gas,0.874452912330372,power_utilities_regulated_gas,0.874452912330372,power_utilities_regulated_ldc,0.7258515436373771,True
PCG,PG&E Corporation,power_utilities_regulated_gas,0.5457456002909598,power_utilities_regulated_gas,0.5457456002909598,power_utilities_regulated_ldc,0.4594367126291328,True
AEE,Ameren,power_utilities_regulated_gas,0.884493516415855,power_utilities_regulated_gas,0.884493516415855,power_utilities_regulated_ldc,0.7335149389194391,True
DTE,DTE Energy,power_utilities_regulated_gas,0.8777667593524391,power_utilities_regulated_gas,0.8777667593524391,power_utilities_regulated_ldc,0.7304976723389928,True
CNP,CenterPoint Energy,power_utilities_regulated_gas,0.8024990405951055,power_utilities_regulated_gas,0.8024990405951055,power_utilities_regulated_ldc,0.6980973606060571,True
PPL,PPL Corporation,power_utilities_regulated_gas,0.8419708873073359,power_utilities_regulated_gas,0.8419708873073359,power_utilities_regulated_ldc,0.7146016603936205,True
FE,FirstEnergy,power_utilities_regulated_gas,0.7753964530948476,power_utilities_regulated_gas,0.7753964530948476,power_utilities_regulated_ldc,0.6471217657259778,True
EIX,Edison International,power_utilities_regulated_gas,0.7011783424634076,power_utilities_regulated_gas,0.7011783424634076,power_utilities_regulated_ldc,0.5703206217287979,True
ES,Eversource Energy,power_utilities_regulated_gas,0.7759949241870338,power_utilities_regulated_gas,0.7759949241870338,power_utilities_regulated_ldc,0.6391223800891648,True
CMS,CMS Energy,power_utilities_regulated_gas,0.8785734769633174,power_utilities_regulated_gas,0.8785734769633174,power_utilities_regulated_ldc,0.7180137797802477,True
NI,NiSource,power_utilities_regulated_gas,0.8477144974678305,power_utilities_regulated_gas,0.8477144974678305,power_utilities_regulated_ldc,0.7545401383703462,True
LNT,Alliant Energy,power_utilities_regulated_gas,0.9039308162709467,power_utilities_regulated_gas,0.9039308162709467,power_utilities_regulated_ldc,0.7502052519353601,True
EVRG,Evergy,power_utilities_regulated_gas,0.8619389036292017,power_utilities_regulated_gas,0.8619389036292017,power_utilities_regulated_ldc,0.712668366902419,True
