ticker,name,node,r2_adj,n_obs,dominant,dominant_t,beta_CL,t_CL,varshare_CL,beta_NG,t_NG,varshare_NG,beta_CRACK_321,t_CRACK_321,varshare_CRACK_321,beta_WTI_BRENT,t_WTI_BRENT,varshare_WTI_BRENT,beta_SPX,t_SPX,varshare_SPX,beta_TNX,t_TNX,varshare_TNX,beta_URA,t_URA,varshare_URA,beta_BDRY,t_BDRY,varshare_BDRY
PR,Permian Resources,upstream_oil_eandp,0.4276575886881081,261,CL,2.9130487639767897,1.4243205273805444,2.9130487639767897,1.2629825700143036,0.00788427175368077,0.7357926391977869,0.0009118471864486851,0.042984120925744024,1.6053641469435336,0.380283363446045,-0.006923156675094419,-2.4412143517455784,0.009865055839198689,0.5982544624674383,3.3121454400576096,0.03712628594351435,0.00826951144993738,2.5091780204608507,0.014075081991578944,0.2120320859638045,2.8299178587521228,0.029878605945491056,0.06276016722126557,1.2114846853057795,0.005345259577758174
MTDR,Matador Resources,upstream_oil_eandp,0.5062708508795488,261,CL,2.1820754398716766,0.9413600460864697,2.1820754398716766,0.6011795598057181,0.004065424513864416,0.4295448370648391,0.00026419311036155423,0.013011036770174907,0.5329910509353699,0.03796870882009897,-0.009454392304405175,-3.9521598026170164,0.020047917128226244,0.7106286667941273,4.90282398053778,0.05708287653785623,0.006844507790612742,2.6921448067692797,0.01050718706889148,0.18455720439455742,3.0228292226490217,0.024667773793037362,0.048363545555950065,1.2219092468806914,0.0034589769827241797
CHRD,Chord Energy,upstream_oil_eandp,0.46766653137037273,261,CL,1.2176196562138766,0.5220399656915583,1.2176196562138766,0.2836518735731823,0.011229160096222357,1.4954330874127715,0.003092357536791166,-0.0020741266475464287,-0.08469483088991477,0.0014803282646257939,-0.0094857199621478,-5.113288451346077,0.03096193450030548,0.637055118605739,4.623904734924578,0.07038172261656865,0.006536337730075158,2.9172597041164865,0.01470132426760814,0.07528099359919754,1.3675316033216522,0.006296860978780838,0.04223955917042287,1.1608729189578113,0.00404795458804126
SM,SM Energy,upstream_oil_eandp,0.49611724551064407,261,CL,2.9160715098324816,1.2561619439693879,2.9160715098324816,0.7649071832482157,0.010257700636334403,1.081012029232271,0.0012018064152242048,0.023559562617557206,0.9918967787976614,0.08895313521981274,-0.014410231190942162,-4.304275496123342,0.03327888060879479,0.8819952736816317,5.534995250155099,0.06283154116870995,0.006793139728887246,2.106396641941175,0.007395506245097946,0.17995134810612126,2.41721838401808,0.016757257864349683,0.04347917479124919,0.8617025281175752,0.0019975551885777054
MGY,Magnolia Oil & Gas,upstream_oil_eandp,0.5238575810646142,261,CL,2.3049916707740317,0.7118404010576789,2.3049916707740317,0.4982297624426886,0.016740958405766695,1.8513482314105156,0.006492949689618564,0.0063516392870707535,0.38124522977112724,0.01311430835832466,-0.008156432963281793,-3.8984017077769897,0.021625904494460294,0.6445514107533158,5.39670388322357,0.06806239843915093,0.004035246867266511,1.4432499156702194,0.005293147014887723,0.1424792165841507,2.6310154533352703,0.021308000902240106,0.050066169833206525,1.5609035129612625,0.005372443581151329
NOG,Northern Oil & Gas,upstream_oil_eandp,0.461704469622952,261,CL,2.2216675248236535,1.1085942235102333,2.2216675248236535,0.7887872457504094,0.022218683477482244,2.0414910680645346,0.007465661649514762,0.023543391629447144,0.8344540741886273,0.11761482002222938,-0.008417117123455341,-3.108839323743434,0.015033175770116152,0.7845762301788554,5.089935849688297,0.0658283048136676,0.005115688869910869,1.6512174540294604,0.005553058404780382,0.153616331040044,2.116582033492985,0.016168312777833517,0.03621571352507655,0.8942512170201173,0.0018349636917111456
CRGY,Crescent Energy,upstream_oil_eandp,0.39913709964313604,230,CL,2.444360202883256,1.2856064417986612,2.444360202883256,1.0157968353982678,0.020759598500456077,1.444913191966355,0.006876143756073478,0.03722968597791581,1.3836825674602447,0.2903033239181345,-0.003539097788524719,-0.982154704962521,0.002218614175855228,0.9066033323656116,5.140002078647653,0.08889803905660676,0.008317455793150595,2.3839005647502938,0.015032090130863308,0.1113921442168094,1.4194315369416677,0.007332572427454182,0.09776421332959212,2.0666621702361807,0.011546212603049938
MUR,Murphy Oil,upstream_oil_eandp,0.4133103932890152,261,CL,1.0731830809732887,0.4790166020336686,1.0731830809732887,0.17948965162775013,0.0017984537603283693,0.15644308980583013,5.961476520187241e-05,-0.005632283821746419,-0.23125745492709116,0.008203830597694556,-0.009469506012315956,-3.699759172012526,0.023190081180316662,0.7179672673883088,4.511366461926957,0.06718545992976459,0.006532052332127591,2.181367344516364,0.011034354480871733,0.14224977279150347,2.1473663841251316,0.016897276646500318,0.06682540484412129,1.5858326030235592,0.007614479226903168
CRC,California Resources,upstream_oil_eandp,0.38666359365164404,261,CL,2.051712130869299,0.6788619645623005,2.051712130869299,0.45020339778577695,0.00522320467389817,0.5966687891477572,0.0006279671211184483,0.010770366813295513,0.589968083997715,0.03746417227695336,-0.0061848374887791425,-2.5600376570534875,0.01235411779805191,0.5412824970011746,4.476013093519542,0.04768936113301863,0.006733076077554906,2.473558011061257,0.014641386187186306,0.16283661983392322,2.872192955403204,0.027651916775218825,0.08322886930624981,2.1103107607809197,0.01475069660441186
TALO,Talos Energy,upstream_oil_eandp,0.3848481545629484,261,CL,1.7741350274646133,1.0127538883980418,1.7741350274646133,0.4972637031109317,0.011941581153244629,1.0556535050533022,0.0016289944027437363,0.011097040410826655,0.3486494011217908,0.019737974966144742,-0.009100835973509473,-2.3058808136108264,0.013275498341435944,0.44086023177667943,2.1562253480029288,0.015700319559282225,0.0029349831269550046,0.7761319016666977,0.0013807004818512068,0.18350563750295626,2.0247054779923745,0.01742821911190332,0.053232274286515745,1.0676366589567547,0.0029946611590084358
