node,r2_adj,r2,n_obs,dominant,dominant_t,beta_CL,t_CL,varshare_CL,beta_NG,t_NG,varshare_NG,beta_CRACK_321,t_CRACK_321,varshare_CRACK_321,beta_WTI_BRENT,t_WTI_BRENT,varshare_WTI_BRENT,beta_SPX,t_SPX,varshare_SPX,beta_TNX,t_TNX,varshare_TNX,beta_URA,t_URA,varshare_URA,beta_BDRY,t_BDRY,varshare_BDRY
upstream_gas_eandp,0.36090897007323963,0.3805733094556015,261,CL,1.3545632801489405,0.4680181643984389,1.3545632801489405,0.2664861449792689,0.03715879798599568,2.897231520686987,0.03958125246908501,0.0051071733792442545,0.2550454457504426,0.0104910693319139,-0.003332852819679581,-1.1289566730822866,0.004467770176713976,0.47302614435568946,3.7627227787119715,0.04535730352547047,0.004800817271556294,2.0905724401265218,0.009270195781362012,0.15572839004592154,2.491206715091532,0.03149633873419731,0.013821427273605975,0.40938258845028863,0.000506609965149517
lng_terminals,0.3166673118424618,0.3376929330165399,261,SPX,4.111908438209378,0.22206530908310154,0.6552862942656906,0.05714634877674575,0.01923074831068043,2.369371326429723,0.01009802450220265,-0.010028575113010623,-0.5256937855963215,0.03853140551002034,-0.006561886090257988,-1.6978759640301384,0.01649657408839701,0.5841398048364113,4.111908438209378,0.06588527669766779,0.004353887162454123,1.379297412927931,0.007262576610087586,0.09270975010177386,2.176529946619587,0.010632934525381667,0.015045287548922459,0.4213580132759066,0.0005718034366285175
power_ipps_merchant,0.30702252731815727,0.32834491109298325,261,SPX,5.983746077829292,0.002230202174849316,0.00841308592013169,6.7893903959551505e-06,-0.005308419801976185,-0.8812947349040797,0.0009063372609558808,-0.002351974965066326,-0.16268451068692313,0.002496416466819813,0.002915608501963206,1.643033375565901,0.003836277945932226,0.8237138784150233,5.983746077829292,0.15432020792747986,-0.0006292097799013013,-0.22395794257708668,0.0001786662728955486,0.20600810037719766,3.6762895770073367,0.06184237716716718,0.04196349440137668,1.3169689838993772,0.0052396747504782565
petrochem,0.2983910043179785,0.3199789734158869,261,SPX,6.81363131542301,0.051589467480608664,0.16495365380483645,0.004247746637434157,0.0008969871304150721,0.14644556737149453,3.0257005268051103e-05,-0.009618866735213725,-0.5276188623314695,0.04881953830639525,-0.0022234442284438014,-0.9386229843959372,0.0026085449986874413,0.8157582469131751,6.81363131542301,0.1769649192357443,0.0017202763729386784,0.7847649374675443,0.001561501124819875,0.06999002432751505,1.2930764089180076,0.008346109382710108,0.011224273012416821,0.42863083190924045,0.000438300215401849
power_utilities_regulated_gas,0.26463715905847107,0.28726370801051815,261,CRACK_321,-2.5645611288854555,-0.30281606717536474,-2.596419034127652,0.5678881795127662,-0.001106253100703468,-0.22321785793418064,0.0001785792536512706,-0.01718816502811675,-2.5645611288854555,0.6048857683297398,0.0015710287427887102,1.0662061834544474,0.00505338746217923,0.37310154203406537,5.8256929383698415,0.14364377466634462,-0.006475463496939382,-4.801965313097891,0.08585311476838672,0.0023971169226994077,0.1037541466885008,3.798907366543603e-05,-0.003524804610704468,-0.2944935719014184,0.0001677234632157215
power_renewables,0.24970154257591715,0.27278764895819674,261,SPX,4.771569074586628,-0.034847538542969285,-0.1682633854201857,0.0029166446970659426,-0.00030041752719658704,-0.05519029468080337,5.107482048666688e-06,-0.006389391930239314,-0.5380632658410819,0.03241661835734712,-0.00031349126113928814,-0.18498762946341304,7.803681364056308e-05,0.4691429397725602,4.771569074586628,0.08808001990494498,-0.00975760770512875,-4.37642349981121,0.07560236089138057,0.10575097991522514,2.5350759368767593,0.028673676552828174,0.0002862410635360497,0.011835219377670337,4.2896505303193114e-07
tanker_shipping,0.24343613355734794,0.2667150217555835,261,CL,2.0251172770470474,0.4385123607316559,2.0251172770470474,0.3118685725313151,-0.0019845573260114475,-0.2836514629849941,0.0001505054518896979,0.013055630004043823,1.094253461871849,0.09139300094745527,-0.0017384140155968348,-0.9125471855206627,0.0016204054677897792,0.440801010416769,3.6548114591667247,0.052507436666346975,0.008861196847635318,3.00121573714949,0.04210193332642335,0.13270303579669004,2.844860221312833,0.030489121983045712,0.05672491580784602,1.7092584037759193,0.011375601738903163
coal,0.24321988490840074,0.26650542691121926,261,CRACK_321,-2.5665345596320956,-0.6044108741033588,-1.6056024551785406,0.2957757068934275,0.0038874219754821194,0.317790798159558,0.0002882958132031481,-0.0548041462329532,-2.5665345596320956,0.8039594287638621,-0.005457813914279368,-1.4855840120923753,0.007973421968314338,0.19227250998262088,0.9404240158321482,0.004987237787208329,0.005942051973089626,1.8798897516360347,0.009451052860282617,0.2860433100649242,3.850521811840137,0.0707191156325891,0.04514137818903797,0.9283855863864037,0.003596386152977159
power_utilities_regulated_ldc,0.20557693549109302,0.23002072209136715,261,CRACK_321,-1.8702168635578795,-0.24387000312187843,-1.640331573201795,0.3048455322526855,0.0015447445920218827,0.27401250421390594,0.0002881996412261163,-0.01562714475934093,-1.8702168635578795,0.4138392465026575,0.001268533304418586,0.7851895019681496,0.0027269435757681505,0.3620251352059441,5.333887182600877,0.11193560144293348,-0.005884489179126846,-4.1633707344287885,0.05867997787681222,0.01724372177398817,0.5904976391550776,0.0016270479393689292,0.0008681584615118222,0.0644389796581427,8.421312774768485e-06
downstream_biofuels,0.17427609851065395,0.19968298778724936,261,SPX,4.0383685931697775,0.22835053040659803,0.6898322685261512,0.05203946662329333,-0.000934474190943104,-0.12068587570463765,2.0534324066637945e-05,-0.004709595591712004,-0.2602003890327334,0.007318218250571035,-0.0052256983903295005,-1.8299347242357464,0.00901004178119982,0.6892758353718271,4.0383685931697775,0.07900282391977358,-0.0009147033334334336,-0.2968554967489665,0.000276056926378865,0.039388541488505596,0.6975572107470391,0.001652889630429789,0.03908226810357936,0.8405606358260915,0.0033228216579952556
uranium_nuclear_fuel,0.16650032117621205,0.18894069714454487,261,SPX,6.323966248804552,-0.15112995877824015,-0.30758998765180917,0.008473408347884761,0.01197966085643465,0.816495179436837,0.0012544780228536318,-0.016700408255017438,-0.6986811151630998,0.03420743590643456,0.002104190266743027,0.3854565051691046,0.0005430456769528946,1.5240166141978995,6.323966248804552,0.14357014303466212,0.01296738799994127,3.1119965899839754,0.020623926739311366,,,,-0.11200761667857341,-1.5077024912054422,0.010145439073760762
downstream_retail,0.11979873186674828,0.1468818478093099,261,CRACK_321,-1.3011246291946135,-0.2247276737864184,-1.1551308701384924,0.15031144907240376,0.002688791763385578,0.45664450150483094,0.0005070027199378225,-0.014095910842785924,-1.3011246291946135,0.1955125205810855,-0.000679203058871713,-0.48319791919671407,0.00045392860646456784,0.5657241327621986,5.507872282161137,0.15871430845926754,0.0025366835305825103,1.4444736882035238,0.0063317078064260976,-0.07208099711685954,-1.8489337549757223,0.016508050506867097,-0.04783866168983637,-2.292582413873633,0.014847581507593214
